IATA,Continent,Latitude,Longitude
BFW,Africa,35.1717987061,-0.593275010586
MUW,Africa,35.207698822021484,0.1471419930458068
AZR,Africa,27.83760070800781,-0.1864140033721923
BSK,Africa,34.7933006287,5.73823022842
ELG,Africa,30.5713005065918,2.8595900535583496
GHA,Africa,32.38410186767578,3.794110059738159
HME,Africa,31.6730003357,6.140439987180001
INZ,Africa,27.2509994507,2.51202011108
TGR,Africa,33.06779861450195,6.088669776916504
LOO,Africa,33.7644004822,2.92833995819
TMX,Africa,29.2371006012,0.276033014059
OGX,Africa,31.917200088500977,5.412779808044434
IAM,Africa,28.0515,9.64291
COO,Africa,6.357230186462402,2.384350061416626
OUA,Africa,12.3532,-1.51242
BOY,Africa,11.160099983215332,-4.33096981048584
ACC,Africa,5.605189800262451,-0.1667860001325607
TML,Africa,9.55718994140625,-0.8632140159606934
NYI,Africa,7.361830234527588,-2.3287599086761475
TKD,Africa,4.896059989929199,-1.7747600078582764
ABJ,Africa,5.261390209197998,-3.9262900352478023
BYK,Africa,7.738800048828125,-5.073669910430908
DJO,Africa,6.792809963226318,-6.473189830780029
HGO,Africa,9.38718032837,-5.55666017532
MJC,Africa,7.272069931030273,-7.58735990524292
SPY,Africa,4.746719837188721,-6.660820007324219
ASK,Africa,6.9031701088,-5.36558008194
ABV,Africa,9.006790161132812,7.263169765472412
AKR,Africa,7.246739864349365,5.3010101318359375
BNI,Africa,6.316979885101318,5.599500179290772
CBQ,Africa,4.976019859313965,8.347200393676758
ENU,Africa,6.474269866943359,7.561960220336914
IBA,Africa,7.362460136413574,3.97832989692688
ILR,Africa,8.440210342407227,4.493919849395752
JOS,Africa,9.639829635620115,8.869050025939941
KAD,Africa,10.696000099182127,7.320109844207764
KAN,Africa,12.0476,8.52462
MIU,Africa,11.855299949645996,13.080900192260742
MDI,Africa,7.70388,8.61394
LOS,Africa,6.5773701667785645,3.321160078048706
MXJ,Africa,9.652170181274414,6.462259769439697
PHC,Africa,5.0154900550842285,6.94959020614624
SKO,Africa,12.916299819946287,5.207190036773682
YOL,Africa,9.257550239562988,12.430399894714355
ZAR,Africa,11.1302,7.68581
MFQ,Africa,13.5024995803833,7.1267499923706055
NIM,Africa,13.4815,2.18361
THZ,Africa,14.875699996948242,5.265359878540039
AJY,Africa,16.965999603271484,8.000109672546387
ZND,Africa,13.779000282287598,8.983759880065918
MIR,Africa,35.75809860229492,10.75469970703125
TUN,Africa,36.85100173950195,10.22719955444336
GAF,Africa,34.422000885009766,8.822500228881836
GAE,Africa,33.87689971923828,10.103300094604492
DJE,Africa,33.875,10.775500297546388
EBM,Africa,31.70429992675781,9.254619598388672
SFA,Africa,34.71799850463867,10.690999984741213
TOE,Africa,33.939701080322266,8.110560417175293
LRL,Africa,9.767330169677734,1.091249942779541
LFW,Africa,6.165609836578369,1.2545100450515747
ANR,Europe,51.1893997192,4.46027994156
BRU,Europe,50.9014015198,4.48443984985
CRL,Europe,50.459202,4.45382
KJK,Europe,50.817199707,3.20472002029
LGG,Europe,50.63740158081055,5.443220138549805
OST,Europe,51.1988983154,2.8622200489
OBL,Europe,51.264702,4.75333
AOC,Europe,50.981945,12.506389
IES,Europe,51.2936096191,13.3561105728
REB,Europe,53.306388855,12.7522220612
QXH,Europe,52.203609,13.156389
BBH,Europe,54.338253,12.710515
ZMG,Europe,52.073612,11.626389
CBU,Europe,51.889442,14.531944
SXF,Europe,52.380001,13.5225
DRS,Europe,51.1328010559082,13.767200469970703
ERF,Europe,50.97980117797852,10.958100318908691
FRA,Europe,50.033333,8.570556
FMO,Europe,52.134601593,7.68483018875
HAM,Europe,53.630401611328,9.9882297515869
THF,Europe,52.47299957275391,13.403900146484377
CGN,Europe,50.8658981323,7.1427397728
DUS,Europe,51.289501,6.76678
MUC,Europe,48.353802,11.7861
NUE,Europe,49.498699,11.078056
LEJ,Europe,51.423889,12.236389
SCN,Europe,49.2145996094,7.10950994492
STR,Europe,48.6898994446,9.22196006775
TXL,Europe,52.5597,13.2877
HAJ,Europe,52.461101532,9.68507957458
BRE,Europe,53.0475006104,8.78666973114
QEF,Europe,49.959999,8.645833
HHN,Europe,49.9487,7.26389
MHG,Europe,49.473057,8.514167
EIB,Europe,50.991604,10.47973
SGE,Europe,50.70769882202149,8.082969665527344
XFW,Europe,53.5352783203125,9.835556030273438
KEL,Europe,54.37944412231445,10.145277976989746
LBC,Europe,53.8054008484,10.7192001343
ESS,Europe,51.40230178833008,6.9373297691345215
BFE,Europe,51.964722,8.544444
MGL,Europe,51.230278,6.504444
PAD,Europe,51.6141014099,8.616319656369999
DTM,Europe,51.51829910279999,7.61223983765
AGB,Europe,48.425278,10.931667
OBF,Europe,48.081402,11.2831
RBM,Europe,48.90083312988281,12.516667366027832
FDH,Europe,47.6712989807,9.51148986816
SZW,Europe,53.426998,11.7834
BYU,Europe,49.985001,11.64
URD,Europe,49.794166564941,11.133610725403
HOQ,Europe,50.288612365722656,11.856389045715332
ZQW,Europe,49.2094,7.40056
ZQL,Europe,47.97333145139999,8.52222156525
BWE,Europe,52.319199,10.5561
KSF,Europe,51.417273,9.384967
BRV,Europe,53.506943,8.572778
EME,Europe,53.391109,7.2275
WVN,Europe,53.502220153808594,8.05222225189209
BMK,Europe,53.59639,6.709167
NRD,Europe,53.70694351196289,7.230000019073486
FLF,Europe,54.77333450317383,9.378889083862305
GWT,Europe,54.9132003784,8.34047031403
KDL,Europe,58.99079895019531,22.830699920654297
URE,Europe,58.22990036010742,22.50950050354004
EPU,Europe,58.41899871826172,24.47279930114746
TLL,Europe,59.41329956049999,24.8327999115
TAY,Europe,58.3074989319,26.690399169900004
ENF,Europe,68.362602233887,23.424299240112
KEV,Europe,61.856039,24.786686
HEM,Europe,60.25460052490234,25.042800903320312
HEL,Europe,60.317199707031,24.963300704956
HYV,Europe,60.6543998718,24.8810997009
KTQ,Europe,62.1661,30.073601
IVL,Europe,68.607299804688,27.405300140381
JOE,Europe,62.662899017334,29.607500076294
JYV,Europe,62.399501800537,25.678300857544
KAU,Europe,63.127102,23.051399
KEM,Europe,65.778701782227,24.582099914551
KAJ,Europe,64.285499572754,27.692399978638
KHJ,Europe,62.4625015259,22.3931007385
KOK,Europe,63.721199035645,23.143100738525
KAO,Europe,65.987602233887,29.239400863647
KTT,Europe,67.700996398926,24.846799850464
KUO,Europe,63.007099151611,27.797800064087
QLF,Europe,61.144199,25.693501
LPP,Europe,61.044601,28.144743
MHQ,Europe,60.122200012207,19.898199081421
MIK,Europe,61.6866,27.201799
OUL,Europe,64.930099487305,25.354600906372
POR,Europe,61.461700439453,21.799999237061
RVN,Europe,66.564796447754,25.830400466919
SVL,Europe,61.943099975586,28.945100784302
SOT,Europe,67.3949966431,26.6191005707
TMP,Europe,61.414100646973,23.604400634766
TKU,Europe,60.514099121094,22.262800216675
UTI,Europe,60.89640045166,26.938400268555
VAA,Europe,63.050701141357,21.762199401855
VRK,Europe,62.171100616455,27.868600845337
YLI,Europe,64.0547222,24.7252778
BFS,Europe,54.6575012207,-6.21582984924
ENK,Europe,54.39889907836914,-7.651669979095459
BHD,Europe,54.61809921264648,-5.872499942779541
LDY,Europe,55.04280090332031,-7.161109924316406
BHX,Europe,52.4538993835,-1.74802994728
CVT,Europe,52.3697013855,-1.47971999645
GLO,Europe,51.89419937133789,-2.167220115661621
GBA,Europe,51.668095,-2.05694
MAN,Europe,53.35369873046875,-2.2749500274658203
NQY,Europe,50.44060134887695,-4.995409965515137
LYE,Europe,51.5051,-1.99343
YEO,Europe,51.0093994140625,-2.638819932937622
HAW,Europe,51.833099365234375,-4.9611101150512695
CWL,Europe,51.39670181274414,-3.343329906463623
SWS,Europe,51.60530090332031,-4.0678300857543945
BRS,Europe,51.382702,-2.71909
LPL,Europe,53.33359909057617,-2.849720001220703
LTN,Europe,51.874698638916016,-0.3683330118656158
PLH,Europe,50.422798,-4.10583
BOH,Europe,50.77999877929688,-1.8424999713897705
SOU,Europe,50.95029830932617,-1.3567999601364136
QLA,Europe,51.187198638916016,-1.0334999561309814
ACI,Europe,49.706104,-2.21472
GCI,Europe,49.435001373291016,-2.601969957351685
JER,Europe,49.20790100097656,-2.195509910583496
ESH,Europe,50.835602,-0.297222
BQH,Europe,51.33079910279999,0.0324999988079
LGW,Europe,51.148102,-0.190278
LCY,Europe,51.505299,0.055278
FAB,Europe,51.2757987976,-0.776332974434
BBS,Europe,51.32389831542969,-0.8475000262260437
LHR,Europe,51.4706,-0.461941
SEN,Europe,51.5713996887207,0.6955559849739075
LYX,Europe,50.95610046386719,0.939167022705078
MSE,Europe,51.342201,1.34611
CAX,Europe,54.9375,-2.8091700077056885
BLK,Europe,53.77170181274414,-3.0286099910736084
HUY,Europe,53.57440185546875,-0.350832998752594
BWF,Europe,54.1286111,-3.2675
LBA,Europe,53.86589813232422,-1.6605700254440308
WRT,Europe,53.745098,-2.88306
CEG,Europe,53.1781005859375,-2.977780103683472
IOM,Europe,54.08330154418945,-4.623889923095703
NCL,Europe,55.03749847412109,-1.6916699409484863
MME,Europe,54.50920104980469,-1.4294099807739258
EMA,Europe,52.8311004639,-1.32806003094
KOI,Europe,58.957801818847656,-2.9049999713897705
LSI,Europe,59.87889862060547,-1.295560002326965
WIC,Europe,58.45890045166016,-3.09306001663208
ABZ,Europe,57.20190048217773,-2.197779893875122
INV,Europe,57.54249954223633,-4.047500133514404
GLA,Europe,55.8718986511,-4.43306016922
EDI,Europe,55.95000076293945,-3.372499942779541
ILY,Europe,55.68190002441406,-6.256669998168945
PIK,Europe,55.5093994140625,-4.586669921875
BEB,Europe,57.48109817504883,-7.362780094146728
SCS,Europe,60.43280029296875,-1.2961100339889526
DND,Europe,56.45249938964844,-3.025830030441284
SYY,Europe,58.215599060058594,-6.331110000610352
TRE,Europe,56.49919891357422,-6.869170188903809
ADX,Europe,56.37289810180664,-2.8684399127960205
LMO,Europe,57.7052001953125,-3.339169979095459
CBG,Europe,52.205002,0.175
NWI,Europe,52.6758003235,1.28278005123
STN,Europe,51.8849983215,0.234999999404
EXT,Europe,50.73440170288086,-3.4138898849487305
FZO,Europe,51.5194015503,-2.59083008766
OXF,Europe,51.8368988037,-1.32000005245
BEX,Europe,51.6164016724,-1.09582996368
LKZ,Europe,52.4093017578,0.56099998951
MHZ,Europe,52.36190032958984,0.486405998468399
QUY,Europe,52.3572006226,-0.107832998037
FFD,Europe,51.6822013855,-1.7900300025900002
BZZ,Europe,51.75,-1.58362
ODH,Europe,51.2341003418,-0.94282501936
NHT,Europe,51.5530014038,-0.418166995049
QCY,Europe,53.0929985046,-0.166014000773
BEQ,Europe,52.34260177612305,0.7729390263557434
SQZ,Europe,53.307800293,-0.550832986832
HRT,Europe,54.0489006042,-1.2527500391
WTN,Europe,53.1661987305,-0.523810982704
KNF,Europe,52.648395,0.550692
MPN,Unknown,-51.82279968261719,-58.44720077514648
AMS,Europe,52.308601,4.76389
MST,Europe,50.911701,5.77014
